Respondent,Gender,Age,Country,EdLevel,DevType,YearsCode,YearsCodePro,Employment,ConvertedComp,JobSat,JobSeek,NEWLearn,OrgSize,WorkWeekHrs,JobFactors,exp_tier,JobSat_score
702,Man,30.0,Honduras,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",11,8.0,Employed full-time,29436.0,Very satisfied,I am not interested in new job opportunities,Once every few years,20 to 99 employees,48.0,Industry that I’d be working in;Diversity of the company or organization;How widely used or impactful my work output would be,5-10y,4.0
703,Man,50.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,3,,Employed full-time,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once every few years,Not stated,,Opportunities for professional development,,
705,Man,42.0,Canada,Some college/university study without earning a degree,"Data or business analyst;Developer, full-stack",20,16.0,Employed full-time,75631.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,100 to 499 employees,37.0,Flex time or a flexible schedule;Remote work options;Office environment or company culture,10-20y,2.0
706,Man,20.0,United Kingdom,Some college/university study without earning a degree,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Engineer, data",9,1.0,Employed full-time,25852.0,Very satisfied,I am not interested in new job opportunities,Every few months,100 to 499 employees,39.0,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",0-2y,4.0
707,Man,32.0,United States,"Other doctoral degree (Ph.D., Ed.D., etc.)",Academic researcher;Data scientist or machine learning specialist;Scientist,25,14.0,Employed full-time,55000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"10,000 or more employees",40.0,Industry that I’d be working in;How widely used or impactful my work output would be;Office environment or company culture,10-20y,4.0
709,Man,33.0,United States,"Other doctoral degree (Ph.D., Ed.D., etc.)",Academic researcher;Data scientist or machine learning specialist;Scientist,22,10.0,Employed full-time,118000.0,Very satisfied,I am not interested in new job opportunities,Once a year,"10,000 or more employees",41.0,Industry that I’d be working in;Specific department or team I’d be working on;Family friendliness,5-10y,4.0
710,Man,29.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, QA or test;Engineer, data",5,2.0,Employed full-time,120000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,20 to 99 employees,40.0,Industry that I’d be working in;Specific department or team I’d be working on;Financial performance or funding status of the company or organization,0-2y,4.0
711,Man,23.0,Czech Republic,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data scientist or machine learning specialist;Designer;Developer, full-stack;DevOps specialist",4,2.0,"Independent contractor, freelancer, or self-employed",14544.0,Very satisfied,I am not interested in new job opportunities,Every few months,20 to 99 employees,30.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",0-2y,4.0
712,Man,25.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",6,0.0,Employed full-time,52000.0,Very satisfied,I am not interested in new job opportunities,Once a year,20 to 99 employees,42.0,"Industry that I’d be working in;Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with",0-2y,4.0
713,Man,26.0,United Kingdom,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,8,2.0,Employed full-time,38778.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,2 to 9 employees,45.0,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture",0-2y,4.0
714,Man,28.0,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",15,7.0,Employed full-time,68184.0,Very satisfied,I am not interested in new job opportunities,Once every few years,100 to 499 employees,35.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",5-10y,4.0
716,Man,44.0,Canada,Some college/university study without earning a degree,"Developer, full-stack;Developer, game or graphics;Educator",35,27.0,Employed full-time,75631.0,Slightly satisfied,I am not interested in new job opportunities,Every few months,10 to 19 employees,50.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Family friendliness",20y+,3.0
717,Man,22.0,Ethiopia,Some college/university study without earning a degree,"Developer, back-end;Developer, front-end;Developer, full-stack",2,1.0,"Independent contractor, freelancer, or self-employed",,Not stated,Not stated,Once a year,Not stated,,Not stated,0-2y,
718,Man,51.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Educator",44,32.0,Employed full-time,170000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",20y+,3.0
719,Man,70.0,United States,"Other doctoral degree (Ph.D., Ed.D., etc.)","Database administrator;Designer;Developer, back-end;Developer, embedded applications or devices;Developer, QA or test;Engineer, site reliability;Engineering manager;Senior executive/VP;System administrator",51,51.0,"Independent contractor, freelancer, or self-employed",250000.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"10,000 or more employees",40.0,Remote work options;Opportunities for professional development,20y+,2.0
720,Woman,26.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,2,1.0,Employed full-time,,Very dissatisfied,I am not interested in new job opportunities,Once a year,20 to 99 employees,40.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on",0-2y,0.0
721,Man,36.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Senior executive/VP",15,15.0,"Independent contractor, freelancer, or self-employed",,Very satisfied,I am not interested in new job opportunities,Once a decade,2 to 9 employees,40.0,Remote work options;How widely used or impactful my work output would be;Opportunities for professional development,10-20y,4.0
722,Man,36.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Data scientist or machine learning specialist;Developer, full-stack",12,6.0,Employed full-time,130000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"10,000 or more employees",40.0,Specific department or team I’d be working on;Remote work options;Family friendliness,5-10y,4.0
723,Man,30.0,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Designer;Developer, front-end",15,8.0,Employed full-time,30716.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,"1,000 to 4,999 employees",40.0,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture",5-10y,1.0
724,Man,,United States,Some college/university study without earning a degree,"Developer, back-end;Engineer, data;System administrator",3,3.0,Employed full-time,2000000.0,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,100 to 499 employees,40.0,Flex time or a flexible schedule;Remote work options;Family friendliness,2-5y,0.0
725,Man,62.0,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, desktop or enterprise applications;Developer, full-stack",43,40.0,"Independent contractor, freelancer, or self-employed",36444.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,20 to 99 employees,32.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",20y+,3.0
726,Woman,45.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications;Engineering manager;Senior executive/VP",36,20.0,Employed full-time,350000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a decade,20 to 99 employees,50.0,"Industry that I’d be working in;Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with",10-20y,4.0
727,Man,23.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Engineer, data;Engineer, site reliability",12,5.0,Employed full-time,109665.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"5,000 to 9,999 employees",35.0,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,2-5y,4.0
728,Man,17.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not stated,5,,Student,,Not stated,I am actively looking for a job,Once a year,Not stated,,Industry that I’d be working in;Financial performance or funding status of the company or organization;How widely used or impactful my work output would be,,
729,Man,24.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,10,,Student,,Not stated,I am actively looking for a job,Every few months,Not stated,,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",,
